nprocs_filter,test_loss,kfold_seed
FALSE,391.8099759,1812549005
FALSE,402.6001306,1801054430
FALSE,400.6354292,1474235857
FALSE,386.6212327,1392436736
FALSE,393.9578781,1379701443
FALSE,382.9834681,1309364699
FALSE,401.5979837,1159944860
FALSE,402.5726231,1155483495
FALSE,393.5471077,879843057
FALSE,390.3564356,728841181
